formation#,pos#,formation,pos
2,1,442,GK
2,2,442,RB
2,3,442,LB
2,4,442,CM
2,5,442,CB
2,6,442,CB
2,7,442,RM
2,8,442,CM
2,9,442,ST
2,10,442,ST
2,11,442,LM
3,1,41212,GK
3,2,41212,RB
3,3,41212,LB
3,4,41212,CDM
3,5,41212,CB
3,6,41212,CB
3,7,41212,CM
3,8,41212,CAM
3,9,41212,ST
3,10,41212,ST
3,11,41212,CM
4,1,433,GK
4,2,433,RB
4,3,433,LB
4,4,433,CM
4,5,433,CB
4,6,433,CB
4,7,433,CM
4,8,433,CM
4,9,433,ST
4,10,433,RW
4,11,433,LW
5,1,451,GK
5,2,451,RB
5,3,451,LB
5,4,451,CM
5,5,451,CB
5,6,451,CB
5,7,451,RM
5,8,451,CM
5,9,451,CAM
5,10,451,ST
5,11,451,LM
6,1,4411,GK
6,2,4411,RB
6,3,4411,LB
6,4,4411,CM
6,5,4411,CB
6,6,4411,CB
6,7,4411,RM
6,8,4411,CM
6,9,4411,ST
6,10,4411,SS
6,11,4411,LM
7,1,4141,GK
7,2,4141,RB
7,3,4141,LB
7,4,4141,CDM
7,5,4141,CB
7,6,4141,CB
7,7,4141,RM
7,8,4141,CM
7,9,4141,ST
7,10,4141,CM
7,11,4141,LM
8,1,4231,GK
8,2,4231,RB
8,3,4231,LB
8,4,4231,CDM
8,5,4231,CB
8,6,4231,CB
8,7,4231,RW
8,8,4231,CDM
8,9,4231,ST
8,10,4231,CAM
8,11,4231,LW
9,1,4321,GK
9,2,4321,RB
9,3,4321,LB
9,4,4321,CDM
9,5,4321,CB
9,6,4321,CB
9,7,4321,CM
9,8,4321,CM
9,9,4321,ST
9,10,4321,CAM
9,11,4321,CAM
10,1,532,GK
10,2,532,RWB
10,3,532,LWB
10,4,532,CB
10,5,532,CB
10,6,532,CB
10,7,532,CM
10,8,532,CDM
10,9,532,ST
10,10,532,ST
10,11,532,CM
11,1,541,GK
11,2,541,RWB
11,3,541,LWB
11,4,541,CB
11,5,541,CB
11,6,541,CB
11,7,541,RM
11,8,541,CM
11,9,541,ST
11,10,541,CM
11,11,541,LM
12,1,352,GK
12,2,352,RWB
12,3,352,LWB
12,4,352,CB
12,5,352,CB
12,6,352,CB
12,7,352,CM
12,8,352,CM
12,9,352,ST
12,10,352,ST
12,11,352,CAM
13,1,343,GK
13,2,343,RWB
13,3,343,LWB
13,4,343,CB
13,5,343,CB
13,6,343,CB
13,7,343,CM
13,8,343,CM
13,9,343,ST
13,10,343,RW
13,11,343,LW
14,1,31312,GK
14,2,31312,RWB
14,3,31312,LWB
14,4,31312,CDM
14,5,31312,CB
14,6,31312,CB
14,7,31312,CB
14,8,31312,CM
14,9,31312,ST
14,10,31312,CAM
14,11,31312,SS
15,1,4222,GK
15,2,4222,RB
15,3,4222,LB
15,4,4222,CDM
15,5,4222,CB
15,6,4222,CB
15,7,4222,CDM
15,8,4222,CAM
15,9,4222,ST
15,10,4222,ST
15,11,4222,CAM
16,1,3511,GK
16,2,3511,RWB
16,3,3511,LWB
16,4,3511,CB
16,5,3511,CB
16,6,3511,CB
16,7,3511,CM
16,8,3511,CM
16,9,3511,ST
16,10,3511,SS
16,11,3511,CAM
17,1,3421,GK
17,2,3421,RWB
17,3,3421,LWB
17,4,3421,CB
17,5,3421,CB
17,6,3421,CB
17,7,3421,CM
17,8,3421,CM
17,9,3421,CAM
17,10,3421,CAM
17,11,3421,ST
18,1,3412,GK
18,2,3412,RWB
18,3,3412,LWB
18,4,3412,CB
18,5,3412,CB
18,6,3412,CB
18,7,3412,CM
18,8,3412,CM
18,9,3412,CAM
18,10,3412,ST
18,11,3412,ST
19,1,3142,GK
19,2,3142,RWB
19,3,3142,LWB
19,4,3142,CB
19,5,3142,CB
19,6,3142,CB
19,7,3142,CM
19,8,3142,CDM
19,9,3142,ST
19,10,3142,ST
19,11,3142,CM
21,1,4132,GK
21,2,4132,RB
21,3,4132,LB
21,4,4132,CDM
21,5,4132,CB
21,6,4132,CB
21,7,4132,RM
21,8,4132,CM
21,9,4132,ST
21,10,4132,ST
21,11,4132,LM
23,1,4312,GK
23,2,4312,RB
23,3,4312,LB
23,4,4312,CDM
23,5,4312,CB
23,6,4312,CB
23,7,4312,CM
23,8,4312,CAM
23,9,4312,ST
23,10,4312,ST
23,11,4312,CM
24,1,3241,GK
24,2,3241,CM
24,3,3241,CM
24,4,3241,CB
24,5,3241,CB
24,6,3241,CB
24,7,3241,SS
24,8,3241,SS
24,9,3241,ST
24,10,3241,RM
24,11,3241,LM
25,1,3232,GK
25,2,3232,CAM
25,3,3232,CDM
25,4,3232,CB
25,5,3232,CB
25,6,3232,CB
25,7,3232,ST
25,8,3232,CDM
25,9,3232,ST
25,10,3232,RM
25,11,3232,LM